Number of Files,MSE,Name
4,-3.5289150272908243,"La Fleur et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-4.014656234852228,"La Fleur et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.838472248178045,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N"
4,-4.409396984141034,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl"
4,-4.170169193115321,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr"
4,-4.1633315421798,"Urtecho et al, Hossain et al, Yu et al, Anderson et al"
4,-3.875847241162547,"Urtecho et al, Hossain et al, Yu et al, De Novo Designs"
4,-4.249919208268796,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl"
4,-4.34647638015585,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr"
4,-4.127219183698169,"Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al"
4,-4.167148730150261,"Urtecho et al, Hossain et al, Lagator et al 36N, De Novo Designs"
4,-4.682917885636269,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr"
4,-4.004487134955112,"Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al"
4,-4.284463979200779,"Urtecho et al, Hossain et al, Lagator et al Pl, De Novo Designs"
4,-3.854834693062188,"Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al"
4,-4.280214592236605,"Urtecho et al, Hossain et al, Lagator et al Pr, De Novo Designs"
4,-4.332988747388555,"Urtecho et al, Hossain et al, Anderson et al, De Novo Designs"
4,-4.5619779332258545,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
4,-4.833244840744577,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
4,-3.871086099755303,"Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al"
4,-4.412827138213764,"Urtecho et al, Yu et al, Lagator et al 36N, De Novo Designs"
4,-4.570033049238761,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
4,-3.768276551429029,"Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al"
4,-4.557979818621026,"Urtecho et al, Yu et al, Lagator et al Pl, De Novo Designs"
4,-4.590608783997798,"Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al"
4,-4.381780110450362,"Urtecho et al, Yu et al, Lagator et al Pr, De Novo Designs"
4,-3.76463152921675,"Urtecho et al, Yu et al, Anderson et al, De Novo Designs"
4,-4.95882904030998,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-4.490254226503737,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-4.788716309725876,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-4.76525295195878,"Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-4.658229486127477,"Urtecho et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-4.3909745968213105,"Urtecho et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-4.670254596223571,"Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-4.556071770694031,"Urtecho et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-4.286847937812924,"Urtecho et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-4.4306154336504004,"Urtecho et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.715460798178319,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
4,-3.5798227795139415,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
4,-3.3893069901265154,"Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
4,-3.6396278464399594,"Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
4,-3.362155334490243,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
4,-3.4941023225544092,"Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
4,-2.944837970288553,"Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
4,-3.24460558043751,"Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
4,-3.2779138466454865,"Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
4,-3.3312006908071874,"Hossain et al, Yu et al, Anderson et al, De Novo Designs"
4,-3.2418150276423936,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-3.5454984681499138,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-3.537897066129759,"Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-3.1922161683423664,"Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-3.440604835721122,"Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-2.9677202634487942,"Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-3.327444757298036,"Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.464963843926894,"Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-3.2469521222513777,"Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-2.9232312728982706,"Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-4.121515190391103,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-3.956430464610864,"Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-4.147317188410658,"Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-3.881616406945539,"Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-4.054986575239467,"Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-3.4250200387890444,"Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-3.6092049554320074,"Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.6730983735670844,"Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-3.409074178585274,"Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-3.9057909844434473,"Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.8806981302917514,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.7933174770793134,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-3.3153274179573815,"Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-3.885339681131435,"Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.6835117949990757,"Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.693976634922869,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N"
5,-5.566639312602236,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl"
